Orgs,,label
ballarpur industries ltd ,BALLARPUR INDUSTRIES LTD ,1
ghcl limited             ,GHCL LIMITED             ,1
menon bearings limited   ,MENON BEARINGS LIMITED   ,1
national institute of animal welfare,National Institute of Animal Welfare,0
department of states,Department of States,0
"international advanced research centre for powder metallurgy and new materials,","International Advanced Research Centre for Powder Metallurgy and New Materials,",0
gallantt ispat ltd       ,GALLANTT ISPAT LTD       ,1
shivam auto.ltd          ,SHIVAM AUTO.LTD          ,1
"all india institute of speech and hearing (aiish), mysore","All India Institute of Speech and Hearing (AIISH), Mysore",0
abg shipyard ltd         ,ABG SHIPYARD LTD         ,1
gandhi spl. tubes ltd    ,GANDHI SPL. TUBES LTD    ,1
national commission for protection of child rights,National Commission for Protection of Child Rights,0
"scientific & technological terminology (cstt), new delhi; and central institute of","Scientific & Technological Terminology (CSTT), New Delhi; and Central Institute of",0
esab india ltd           ,ESAB INDIA LTD           ,1
dcm financial services lt,DCM FINANCIAL SERVICES LT,1
railway claims tribunal,Railway Claims Tribunal,0
national centre for trade information (ncti),National Centre for Trade Information (NCTI),0
"space applications centre (sac), ahmedabad.","Space Applications Centre (SAC), Ahmedabad.",0
centre for forest based livelihood and extension,Centre for Forest Based Livelihood and Extension,0
autonomous and other bodies,Autonomous and other bodies,0
departments,Departments,0
crompt grea con elec ltd ,CROMPT GREA CON ELEC LTD ,1
jindal cotex ltd         ,JINDAL COTEX LTD         ,1
city union bank ltd      ,CITY UNION BANK LTD      ,1
pricol limited           ,PRICOL LIMITED           ,1
salora international ltd ,SALORA INTERNATIONAL LTD ,1
film and television institute of india,Film and Television Institute of India,0
shalim paints ltd        ,SHALIM PAINTS LTD        ,1
nitin fire prot ind. ltd.,NITIN FIRE PROT IND. LTD.,1
orient paper and inds ltd,ORIENT PAPER AND INDS LTD,1
hindustan composites ltd.,HINDUSTAN COMPOSITES LTD.,1
centre for railway information systems(cris),Centre For Railway Information Systems(CRIS),0
staff selection commission (ssc),Staff Selection Commission (SSC),0
lyka labs ltd            ,LYKA LABS LTD            ,1
federal bank ltd         ,FEDERAL BANK LTD         ,1
national dairy development board (nddb),National Dairy Development Board (NDDB),0
divi's laboratories ltd  ,DIVI'S LABORATORIES LTD  ,1
film certification appellate tribunal,Film Certification Appellate Tribunal,0
ashoka buildcon ltd      ,ASHOKA BUILDCON LTD      ,1
directorate of planning & coordination,Directorate of Planning & Coordination,0
"nuclear power corporation of india (npcil), mumbai, maharashtra","Nuclear Power Corporation of India (NPCIL), Mumbai, Maharashtra",0
internationalpaperappmltd,INTERNATIONALPAPERAPPMLTD,1
times guaranty limited   ,TIMES GUARANTY LIMITED   ,1
welspun corp limited     ,WELSPUN CORP LIMITED     ,1
ambuja cements ltd       ,AMBUJA CEMENTS LTD       ,1
beml limited             ,BEML LIMITED             ,1
agencies,Agencies,0
iifl holdings limited    ,IIFL HOLDINGS LIMITED    ,1
agro tech foods limited  ,AGRO TECH FOODS LIMITED  ,1
tech mahindra limited    ,TECH MAHINDRA LIMITED    ,1
indian hume pipe co. ltd.,INDIAN HUME PIPE CO. LTD.,1
ministry of information and broadcasting,Ministry of Information and Broadcasting,0
agri-tech (india) limited,AGRI-TECH (INDIA) LIMITED,1
dewan housing fin corp lt,DEWAN HOUSING FIN CORP LT,1
,,0
kalyani commercials ltd  ,KALYANI COMMERCIALS LTD  ,1
tata coffee limited      ,TATA COFFEE LIMITED      ,1
rane (madras) limited    ,RANE (MADRAS) LIMITED    ,1
rajasthan drugs and pharmaceuticals,Rajasthan Drugs and Pharmaceuticals,0
national small industries corporation,National Small Industries Corporation,0
sil investments limited  ,SIL INVESTMENTS LIMITED  ,1
gillette india ltd       ,GILLETTE INDIA LTD       ,1
indian oil corp ltd      ,INDIAN OIL CORP LTD      ,1
datamatics global ser ltd,DATAMATICS GLOBAL SER LTD,1
indian powerlifting federation,Indian Powerlifting Federation,0
attached offices,Attached Offices,0
"ministry of environment, forest and climate change","Ministry of Environment, Forest and Climate Change",0
department of biotechnology,Department of Biotechnology,0
"authority for advance rulings (central excise, customs and service tax)","Authority for Advance Rulings (Central Excise, Customs and Service Tax)",0
idfc limited             ,IDFC LIMITED             ,1
lupin limited            ,LUPIN LIMITED            ,1
sundaram finance hold ltd,SUNDARAM FINANCE HOLD LTD,1
indian national space promotion and authorisation centre (in–space),Indian National Space Promotion and Authorisation Centre (IN–SPACe),0
department of sports,Department of Sports,0
legislative department,Legislative Department,0
the ge shpg.ltd          ,THE GE SHPG.LTD          ,1
hmt ltd -                ,HMT LTD -                ,1
skf india ltd            ,SKF INDIA LTD            ,1
mukand engineers limited ,MUKAND ENGINEERS LIMITED ,1
brigade enter. ltd       ,BRIGADE ENTER. LTD       ,1
trf limited              ,TRF LIMITED              ,1
national rifle association of india (nrai),National Rifle Association of India (NRAI),0
glaxosmithkline consumer ,GLAXOSMITHKLINE CONSUMER ,1
essar shipping ltd       ,ESSAR SHIPPING LTD       ,1
export inspection agency-chennai,Export Inspection Agency-Chennai,0
ocl iron and steel ltd   ,OCL IRON AND STEEL LTD   ,1
northern india textile research association (nitra),Northern India Textile Research Association (NITRA),0
vishnu chemicals limited ,VISHNU CHEMICALS LIMITED ,1
indoco remedies ltd.     ,INDOCO REMEDIES LTD.     ,1
himadri speciality chem l,HIMADRI SPECIALITY CHEM L,1
"central zoo authority, new delhi","Central Zoo Authority, New Delhi",0
department of health,Department of Health,0
bank of maharashtra      ,BANK OF MAHARASHTRA      ,1
national commission on population,National Commission on Population,0
eicher motors ltd        ,EICHER MOTORS LTD        ,1
pearl polymers ltd       ,PEARL POLYMERS LTD       ,1
triveni engg. & inds. ltd,TRIVENI ENGG. & INDS. LTD,1
rbl bank limited         ,RBL BANK LIMITED         ,1
company law board,Company Law Board,0
institute of company secretaries of india,Institute of Company Secretaries of India,0
jindal photo limited     ,JINDAL PHOTO LIMITED     ,1
monsanto india limited   ,MONSANTO INDIA LIMITED   ,1
directorate of field publicity,Directorate of Field Publicity,0
independent departments,Independent Departments,0
tata metaliks ltd        ,TATA METALIKS LTD        ,1
vardhman spc steel ltd   ,VARDHMAN SPC STEEL LTD   ,1
society for integrated circuit technology and applied research,Society for Integrated Circuit Technology and Applied Research,0
eveready inds. ind.  ltd.,EVEREADY INDS. IND.  LTD.,1
"northern regional power committee, ministry of power","Northern Regional Power Committee, Ministry of Power",0
department of land resources,Department of Land Resources,0
career point limited     ,CAREER POINT LIMITED     ,1
defense intelligence agency,Defense Intelligence Agency,0
techno elec & eng co. ltd,TECHNO ELEC & ENG CO. LTD,1
song and drama division,Song and Drama Division,0
viceroy hotels limited   ,VICEROY HOTELS LIMITED   ,1
"rashtriya sanskrit sansthan (rsks) in new delhi,","Rashtriya Sanskrit Sansthan (RSkS) in New Delhi,",0
fineotex chemical limited,FINEOTEX CHEMICAL LIMITED,1
dishman carbo amcis ltd  ,DISHMAN CARBO AMCIS LTD  ,1
stel holdings limited    ,STEL HOLDINGS LIMITED    ,1
adani transmission ltd   ,ADANI TRANSMISSION LTD   ,1
shiva mills limited      ,SHIVA MILLS LIMITED      ,1
shreyas shipping & logist,SHREYAS SHIPPING & LOGIST,1
punj lloyd limited       ,PUNJ LLOYD LIMITED       ,1
endurance techno. ltd.   ,ENDURANCE TECHNO. LTD.   ,1
central council for research in homoeopathy (ccrh),Central Council for Research in Homoeopathy (CCRH),0
indian potash limited,Indian Potash Limited,0
ifb agro industries ltd  ,IFB AGRO INDUSTRIES LTD  ,1
national academy of direct taxes,National Academy of Direct Taxes,0
r. s. software (india) li,R. S. SOFTWARE (INDIA) LI,1
research reference and training division,Research Reference and Training Division,0
all india football federation (aiff),All India Football Federation (AIFF),0
department of administrative reforms and public grievances,Department of Administrative Reforms and Public Grievances,0
income-tax appellate tribunal,Income-Tax Appellate Tribunal,0
mcnally bh. eng. co.ltd  ,MCNALLY BH. ENG. CO.LTD  ,1
man coat metal & ind ltd ,MAN COAT METAL & IND LTD ,1
national oilseeds and vegetable oils development board (novod),National Oilseeds and Vegetable Oils Development Board (NOVOD),0
forest research institute (india),Forest Research Institute (India),0
manappuram finance ltd   ,MANAPPURAM FINANCE LTD   ,1
century textiles ltd     ,CENTURY TEXTILES LTD     ,1
country club hosp hol ltd,COUNTRY CLUB HOSP HOL LTD,1
housing dev & infra ltd  ,HOUSING DEV & INFRA LTD  ,1
gtn industries limited   ,GTN INDUSTRIES LIMITED   ,1
kcp sugar ind corp ltd.  ,KCP SUGAR IND CORP LTD.  ,1
sagardeep alloys limited ,SAGARDEEP ALLOYS LIMITED ,1
supreme infra. ltd.      ,SUPREME INFRA. LTD.      ,1
kddl limited             ,KDDL LIMITED             ,1
suven life sciences ltd  ,SUVEN LIFE SCIENCES LTD  ,1
delta corp limited       ,DELTA CORP LIMITED       ,1
jayaswal neco industr ltd,JAYASWAL NECO INDUSTR LTD,1
jind pol inv & fin co ltd,JIND POL INV & FIN CO LTD,1
alkem laboratories ltd.  ,ALKEM LABORATORIES LTD.  ,1
country condo's limited  ,COUNTRY CONDO'S LIMITED  ,1
pds multinational fas ltd,PDS MULTINATIONAL FAS LTD,1
indian amateur boxing federation,Indian Amateur Boxing Federation,0
ministry of communications and information technology,Ministry of Communications and Information Technology,0
odisha cement limited    ,ODISHA CEMENT LIMITED    ,1
berger paints (i) ltd    ,BERGER PAINTS (I) LTD    ,1
coal india ltd           ,COAL INDIA LTD           ,1
gna axles limited        ,GNA AXLES LIMITED        ,1
linde india limited      ,LINDE INDIA LIMITED      ,1
centre for high technology,Centre for High Technology,0
central bureau of investigation. (cbi),Central Bureau of Investigation. (CBI),0
the mandhana ret vent ltd,THE MANDHANA RET VENT LTD,1
dlf limited              ,DLF LIMITED              ,1
nacl industries limited  ,NACL INDUSTRIES LIMITED  ,1
jay bharat maruti ltd    ,JAY BHARAT MARUTI LTD    ,1
jaihind projects ltd     ,JAIHIND PROJECTS LTD     ,1
maithan alloys ltd       ,MAITHAN ALLOYS LTD       ,1
indian plywood industries training and research institute,Indian Plywood Industries Training and Research Institute,0
texmaco infra & holdg ltd,TEXMACO INFRA & HOLDG LTD,1
century plyboards (i) ltd,CENTURY PLYBOARDS (I) LTD,1
global offshore serv ltd ,GLOBAL OFFSHORE SERV LTD ,1
bf investment limited    ,BF INVESTMENT LIMITED    ,1
national aluminium company limited (nalco),National Aluminium Company Limited (NALCO),0
shree rama multi tech ltd,SHREE RAMA MULTI TECH LTD,1
h.g.infra engineering ltd,H.G.INFRA ENGINEERING LTD,1
spl industries limited   ,SPL INDUSTRIES LIMITED   ,1
jk tyre & industries ltd ,JK TYRE & INDUSTRIES LTD ,1
vidhi spclty f ingrdnts l,VIDHI SPCLTY F INGRDNTS L,1
department of home,Department of Home,0
centre for development of advanced computing (c-dac),Centre for Development of Advanced Computing (C-DAC),0
dr. lal path labs ltd.   ,DR. LAL PATH LABS LTD.   ,1
bajaj holdings & invs ltd,BAJAJ HOLDINGS & INVS LTD,1
visagar polytex ltd      ,VISAGAR POLYTEX LTD      ,1
regulatory authorities,Regulatory Authorities,0
gabriel india ltd        ,GABRIEL INDIA LTD        ,1
sab events & governance  ,SAB EVENTS & GOVERNANCE  ,1
onmobile global ltd.     ,ONMOBILE GLOBAL LTD.     ,1
arihant superstruct ltd  ,ARIHANT SUPERSTRUCT LTD  ,1
"national museum, new delhi","National Museum, New Delhi",0
man-made textile research association (mantra),Man-made Textile Research Association (MANTRA),0
shree renuka sugars ltd  ,SHREE RENUKA SUGARS LTD  ,1
department of food and public distribution,Department of Food and Public Distribution,0
ginni filaments ltd      ,GINNI FILAMENTS LTD      ,1
mangalam cement ltd      ,MANGALAM CEMENT LTD      ,1
public enterprises selection board (pesb),Public Enterprises Selection Board (PESB),0
small farmers' agri-business consortium*,Small Farmers' Agri-business Consortium*,0
karda constructions ltd  ,KARDA CONSTRUCTIONS LTD  ,1
ajanta pharma limited    ,AJANTA PHARMA LIMITED    ,1
hotel rugby ltd          ,HOTEL RUGBY LTD          ,1
wanbury limited          ,WANBURY LIMITED          ,1
aurionpro soln ltd       ,AURIONPRO SOLN LTD       ,1
shalby limited           ,SHALBY LIMITED           ,1
automotive research association of india (arai),Automotive Research Association of India (ARAI),0
controller general of defence accounts (cgda),Controller General of Defence Accounts (CGDA),0
"development and educational communication unit (decu), ahmedabad.","Development and Educational Communication Unit (DECU), Ahmedabad.",0
the hi-tech gears limited,THE HI-TECH GEARS LIMITED,1
nahar inds ent ltd       ,NAHAR INDS ENT LTD       ,1
rec limited              ,REC LIMITED              ,1
rashtriya chemicals & fer,RASHTRIYA CHEMICALS & FER,1
asian granito ind. ltd.  ,ASIAN GRANITO IND. LTD.  ,1
pnb housing fin ltd.     ,PNB HOUSING FIN LTD.     ,1
jvl agro industries ltd  ,JVL AGRO INDUSTRIES LTD  ,1
vascon engineers ltd     ,VASCON ENGINEERS LTD     ,1
sanghi industries ltd    ,SANGHI INDUSTRIES LTD    ,1
department of atomic energy,Department of Atomic Energy,0
jullundur mot agency ltd ,JULLUNDUR MOT AGENCY LTD ,1
department of pharmaceuticals,Department of Pharmaceuticals,0
the synthetic & art silk mills research association (sasmira),The Synthetic & Art Silk Mills Research Association (SASMIRA),0
nectar lifesciences ltd. ,NECTAR LIFESCIENCES LTD. ,1
welspun inv & comm ltd   ,WELSPUN INV & COMM LTD   ,1
ramco industries limited ,RAMCO INDUSTRIES LIMITED ,1
megasoft ltd             ,MEGASOFT LTD             ,1
natco pharma ltd.        ,NATCO PHARMA LTD.        ,1
sundram fasteners ltd    ,SUNDRAM FASTENERS LTD    ,1
madhucon projects ltd.   ,MADHUCON PROJECTS LTD.   ,1
rattanindia infra limited,RATTANINDIA INFRA LIMITED,1
naga dhunseri group ltd  ,NAGA DHUNSERI GROUP LTD  ,1
munjal showa ltd         ,MUNJAL SHOWA LTD         ,1
ind swift laboratories lt,IND SWIFT LABORATORIES LT,1
central reference library,Central Reference Library,0
indiabulls ventures ltd  ,INDIABULLS VENTURES LTD  ,1
institute for defence studies and analyses (idsa),Institute for Defence Studies and Analyses (IDSA),0
nucleus software exports ,NUCLEUS SOFTWARE EXPORTS ,1
thangamayil jewellery ltd,THANGAMAYIL JEWELLERY LTD,1
gravita india limited    ,GRAVITA INDIA LIMITED    ,1
johnson controls hitachi ,JOHNSON CONTROLS HITACHI ,1
directorate of income tax intelligence and criminal investigation,Directorate of Income Tax Intelligence and Criminal Investigation,0
punjab national bank     ,PUNJAB NATIONAL BANK     ,1
mro-tek realty limited   ,MRO-TEK REALTY LIMITED   ,1
coal mines provident fund organisation (cmpfo),Coal Mines Provident Fund Organisation (CMPFO),0
s/mandate),s/mandate),0
institute of forest biodiversity,Institute of Forest Biodiversity,0
indian railway catering and tourism corporation (public sector undertaking),Indian Railway Catering and Tourism Corporation (public sector undertaking),0
colgate palmolive ltd.   ,COLGATE PALMOLIVE LTD.   ,1
jocil limited            ,JOCIL LIMITED            ,1
national accreditation board for testing and calibration laboratories (nabl),National Accreditation Board for Testing and Calibration Laboratories (NABL),0
srei infrastructure finan,SREI INFRASTRUCTURE FINAN,1
jhs svend. lab. ltd      ,JHS SVEND. LAB. LTD      ,1
chemical and allied products export promotion council (capexil),Chemical and Allied Products Export Promotion Council (CAPEXIL),0
jitf infralogistics ltd  ,JITF INFRALOGISTICS LTD  ,1
nath bio-genes (i) ltd   ,NATH BIO-GENES (I) LTD   ,1
websol energy system ltd ,WEBSOL ENERGY SYSTEM LTD ,1
diesel-loco modernisation works,Diesel-Loco Modernisation Works,0
gati limited             ,GATI LIMITED             ,1
indiabulls hsg fin ltd   ,INDIABULLS HSG FIN LTD   ,1
d-link india ltd         ,D-LINK INDIA LTD         ,1
security intell services ,SECURITY INTELL SERVICES ,1
lincoln pharma ltd       ,LINCOLN PHARMA LTD       ,1
nlc india limited        ,NLC INDIA LIMITED        ,1
shoppers stop limited    ,SHOPPERS STOP LIMITED    ,1
oil country tubular ltd  ,OIL COUNTRY TUBULAR LTD  ,1
tv18 broadcast limited   ,TV18 BROADCAST LIMITED   ,1
timken india ltd.        ,TIMKEN INDIA LTD.        ,1
directorate of film festivals,Directorate of Film Festivals,0
optiemus infracom ltd    ,OPTIEMUS INFRACOM LTD    ,1
balkrishna ind. ltd      ,BALKRISHNA IND. LTD      ,1
lypsa gems & jewel ltd   ,LYPSA GEMS & JEWEL LTD   ,1
central economic intelligence bureau,Central Economic Intelligence Bureau,0
cesc ltd                 ,CESC LTD                 ,1
ndtv ltd                 ,NDTV LTD                 ,1
bridge federation of india,Bridge Federation of India,0
rajdarshan industries ltd,RAJDARSHAN INDUSTRIES LTD,1
vodafone idea limited    ,VODAFONE IDEA LIMITED    ,1
dhunseri tea & ind. ltd. ,DHUNSERI TEA & IND. LTD. ,1
indo count industries ltd,INDO COUNT INDUSTRIES LTD,1
commissions,Commissions,0
oracle fin serv soft ltd.,ORACLE FIN SERV SOFT LTD.,1
tata motors limited      ,TATA MOTORS LIMITED      ,1
thyrocare tech ltd       ,THYROCARE TECH LTD       ,1
sarda energy & min ltd   ,SARDA ENERGY & MIN LTD   ,1
national investigation agency(internal),National Investigation Agency(Internal),0
man industries (i) ltd.  ,MAN INDUSTRIES (I) LTD.  ,1
interglobe aviation ltd  ,INTERGLOBE AVIATION LTD  ,1
"nuclear fuel complex (nfc), hyderabad","Nuclear Fuel Complex (NFC), Hyderabad",0
unichem laboratories ltd ,UNICHEM LABORATORIES LTD ,1
"institute of mathematical sciences (imsc), chennai","Institute of Mathematical Sciences (IMSc), Chennai",0
maruti suzuki india ltd. ,MARUTI SUZUKI INDIA LTD. ,1
national council for promotion of sindhi language (ncpsl),National Council for Promotion of Sindhi Language (NCPSL),0
mphasis limited          ,MPHASIS LIMITED          ,1
central bureau of investigation (cbi)(internal/criminal investigation),Central Bureau Of Investigation (CBI)(Internal/Criminal Investigation),0
td power systems ltd.    ,TD POWER SYSTEMS LTD.    ,1
electronics and computer software export promotion council (esc),Electronics and Computer Software Export Promotion Council (ESC),0
directorate general of trade remedies (dgtr),Directorate General of Trade Remedies (DGTR),0
railway board,Railway Board,0
integra garment & tex ltd,INTEGRA GARMENT & TEX LTD,1
oswal agro mills ltd     ,OSWAL AGRO MILLS LTD     ,1
rain industries limited  ,RAIN INDUSTRIES LIMITED  ,1
national mineral development corporation (nmdc),National Mineral Development Corporation (NMDC),0
kalyani steels limited   ,KALYANI STEELS LIMITED   ,1
bhakra beas management board (bbmb),Bhakra Beas Management Board (BBMB),0
alok industries ltd      ,ALOK INDUSTRIES LTD      ,1
national jute manufacturers corporation (njmc),National Jute Manufacturers Corporation (NJMC),0
autonomous bodies,Autonomous Bodies,0
central depo ser (i) ltd ,CENTRAL DEPO SER (I) LTD ,1
"s.n. bose national centre for basic sciences, kolkata*","S.N. Bose National Centre for Basic Sciences, Kolkata*",0
sqs india bfsi limited   ,SQS INDIA BFSI LIMITED   ,1
ministry of road transport and highways,Ministry of Road Transport and Highways,0
central board of direct taxes,Central Board of Direct Taxes,0
"national museum of natural history (nmnh), new delhi","National Museum of Natural History (NMNH), New Delhi",0
directorate of air intelligence,Directorate of Air Intelligence,0
ashiana housing ltd      ,ASHIANA HOUSING LTD      ,1
shriram pist. & ring ltd ,SHRIRAM PIST. & RING LTD ,1
mask investments limited ,MASK INVESTMENTS LIMITED ,1
kakatiya cem sugar &ind l,KAKATIYA CEM SUGAR &IND L,1
north eastern council,North Eastern Council,0
dharani sugars & chemical,DHARANI SUGARS & CHEMICAL,1
conso. fin. & hold. ltd. ,CONSO. FIN. & HOLD. LTD. ,1
accelya kale solution ltd,ACCELYA KALE SOLUTION LTD,1
signet industries limited,SIGNET INDUSTRIES LIMITED,1
mastek ltd               ,MASTEK LTD               ,1
aban offshore ltd.       ,ABAN OFFSHORE LTD.       ,1
central board of excise and customs,Central Board of Excise and Customs,0
tata steel bsl limited   ,TATA STEEL BSL LIMITED   ,1
praxis home retail ltd   ,PRAXIS HOME RETAIL LTD   ,1
finance division,Finance Division,0
hov services ltd         ,HOV SERVICES LTD         ,1
handloom export promotion council (hepc),Handloom Export Promotion Council (HEPC),0
blb limited              ,BLB LIMITED              ,1
"variable energy cyclotron centre (vecc), kolkata","Variable Energy Cyclotron Centre (VECC), Kolkata",0
national institute of rock mechanics (nirm),National Institute of Rock Mechanics (NIRM),0
national mission on monuments and antiquities,National Mission on Monuments and Antiquities,0
national commissioner for linguistic minorities,National Commissioner for Linguistic Minorities,0
central council for research in yoga and naturopathy (ccryn),Central Council for Research in Yoga and Naturopathy (CCRYN),0
"satish dhawan space centre (sdsc-shar), sriharikota.","Satish Dhawan Space Centre (SDSC-SHAR), Sriharikota.",0
jai corp limited         ,JAI CORP LIMITED         ,1
national commission for scheduled castes,National Commission for Scheduled Castes,0
emami realty limited     ,EMAMI REALTY LIMITED     ,1
ansal prop & infra ltd   ,ANSAL PROP & INFRA LTD   ,1
nitesh estates ltd       ,NITESH ESTATES LTD       ,1
eastern silk industries l,EASTERN SILK INDUSTRIES L,1
all india boxing association (aiba),All India Boxing Association (AIBA),0
"national centre for seismology(ncs), delhi","National Centre for Seismology(NCS), Delhi",0
noida toll bridge co ltd ,NOIDA TOLL BRIDGE CO LTD ,1
gmm pfaudler limited     ,GMM PFAUDLER LIMITED     ,1
golden tobacco limited   ,GOLDEN TOBACCO LIMITED   ,1
"atomic minerals directorate for exploration and research (amd), hyderabad","Atomic Minerals Directorate for Exploration and Research (AMD), Hyderabad",0
central organisation for modernisation of workshops,Central Organisation for Modernisation of Workshops,0
electronics regional test laboratory (ertl),Electronics Regional Test Laboratory (ERTL),0
kanoria chemicals & indus,KANORIA CHEMICALS & INDUS,1
"north east centre for technology application and reach (nectar), shillong, meghalaya*","North East Centre for Technology Application and Reach (NECTAR), Shillong, Meghalaya*",0
asian hotels (west) ltd  ,ASIAN HOTELS (WEST) LTD  ,1
fcs software soln. ltd.  ,FCS SOFTWARE SOLN. LTD.  ,1
"customs, excise and service tax appellate tribunal","Customs, Excise and Service Tax Appellate Tribunal",0
radha madhav co. ltd.    ,RADHA MADHAV CO. LTD.    ,1
lasa supergenerics ltd   ,LASA SUPERGENERICS LTD   ,1
blue star limited        ,BLUE STAR LIMITED        ,1
"ministry of personnel, public grievances and pensions","Ministry of Personnel, Public Grievances and Pensions",0
directorate general of quality assurance (dgqa),Directorate General of Quality Assurance (DGQA),0
"three subordinate offices: central hindi directorate (chd), new delhi; commission for","Three subordinate offices: Central Hindi Directorate (CHD), New Delhi; Commission for",0
capital trust limited    ,CAPITAL TRUST LIMITED    ,1
yes bank limited         ,YES BANK LIMITED         ,1
eros intl media ltd      ,EROS INTL MEDIA LTD      ,1
public sector undertakings,Public Sector Undertakings,0
hotel leela ventures ltd ,HOTEL LEELA VENTURES LTD ,1
rollatainers limited     ,ROLLATAINERS LIMITED     ,1
ali yavar jung national institute for the hearing handicapped,Ali Yavar Jung National Institute for the Hearing Handicapped,0
kirloskar oil eng ltd    ,KIRLOSKAR OIL ENG LTD    ,1
rupa & company ltd       ,RUPA & COMPANY LTD       ,1
national consumer disputes redressal commission (ncdrc),National Consumer Disputes Redressal Commission (NCDRC),0
lalit kala akademi,Lalit Kala Akademi,0
principal account office (pao),Principal Account Office (PAO),0
l&t finance holdings ltd ,L&T FINANCE HOLDINGS LTD ,1
"office of the registrar general and census commissioner, census of india","Office of the Registrar General and Census Commissioner, Census of India",0
national skill development agency (nsda),National skill development agency (NSDA),0
department of heavy industries,Department of Heavy Industries,0
compucom software ltd    ,COMPUCOM SOFTWARE LTD    ,1
department of rural development,Department of Rural Development,0
ministry of food processing industries,Ministry of Food Processing Industries,0
department is handled through over 100 autonomous organisations under these bureaus.,department is handled through over 100 autonomous organisations under these bureaus.,0
nelco ltd                ,NELCO LTD                ,1
mic electronics limited  ,MIC ELECTRONICS LIMITED  ,1
globus spirits ltd       ,GLOBUS SPIRITS LTD       ,1
rane eng valve ltd       ,RANE ENG VALVE LTD       ,1
"centre for nano and soft matter sciences, bangalore*","Centre for Nano and Soft Matter Sciences, Bangalore*",0
ball badminton federation of india,Ball Badminton Federation of India,0
sical logistics limited  ,SICAL LOGISTICS LIMITED  ,1
kpit technologies ltd    ,KPIT TECHNOLOGIES LTD    ,1
bodal chemicals ltd      ,BODAL CHEMICALS LTD      ,1
gp petroleums limited    ,GP PETROLEUMS LIMITED    ,1
gokul refoils & solv ltd ,GOKUL REFOILS & SOLV LTD ,1
kernex microsys(i) ltd   ,KERNEX MICROSYS(I) LTD   ,1
